ID	Block	Pop	CrossPop	Cytop	FamA	Fam	SurvPla	SurvSum0	SurvWin1	SurvSum1	SurvWin2	SurvSum2	SurvWin3	SurvSum3	SurvWin4	SurvSum4	Flow1	Flow2	Flow3	Flow4	TotSh1	TotSh2	TotSh3	FrSh1	FrSh2	FrSh3	SeFrG1	SeFrG2	SeFrG3	FlStart1	FlStart2	FlStart3	H1Sh1	TotFl1	PsM12
1	S1	N	N	N	N1	N1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
2	S1	F1 	Sx	S	F1C	F1A	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	3	0	0	0	NA	NA	184	NA	0	NA
3	S1	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	0	1	1	0	0	3	2	0	4	5	0	5.333333	1.333333	0	159	166	NA	5.15	20	9.5564
4	S1	S	S	S	S7	S7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0	NA
5	S1	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	0	1	0	9	1	3	3.777777778	0	5	6.666667	0	1.666666667	168	NA	176	7.31	44	14.3654
6	S1	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	3	12.66666667	1	5	6	NA	2	163	166	174	5.73	41	9.869833333
7	S1	F2	SNx 	S	F2A	F2A	1	1	1	1	1	0	0	0	0	0	1	0	0	0	3	0	0	6.333333333	0	0	11.333333	0	0	163	NA	NA	8.12	20	10.56093333
8	S1	S	S	S	S4	S4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	14	1.5	0	18.666667	1	0	153	180	218	2.72	17	7.974366667
9	S1	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	8	2	0	3.333333	0	0	167	161	213	6.44	10	11.6469
10	S1	N	N	N	N1	N1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	2.333333333	0	0	10	0	0	184	NA	NA	6.69	8	17.7829
13	S1	F1 	Sx	S	F1A	F1A	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	181	NA	NA	2.96	0	NA
14	S1	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	2	0	0	181	NA	NA	5.66	3	10.4286
15	S1	F1 	Nx	N	F1C	F1B	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	2.666667	0	0	167	NA	NA	4.06	3	9.7565
16	S1	S	S	S	S14	S14	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	2	2	0	0	2	NA	0	NA	NA	211	190	NA	0	NA
17	S1	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	4	4	6.25	6	8	0	0.666667	0.333333333	163	156	158	7.43	31	12.13463333
18	S1	S	S	S	S13	S13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	2	3.333333333	6.5	6	0.666667	0.666667	7.333333333	156	153	157	2.49	22	6.457733333
19	S1	F2	SNx 	S	F2A	F2A	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	4	0	0	4.333333	0	0	167	NA	NA	3.9	6	NA
20	S1	F1 	Nx	N	F1C	F1B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	4	5.25	5.5	4	3	1	0.333333333	158	156	158	4.51	26	10.0974
21	S1	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	0	1	1	1	0	3	2	2	4	0	2	9.333333	0	0.666666667	184	168	180	6.82	17	11.83236667
23	S1	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	2	2	4	4	3	8.333333	5.333333	1	163	155	158	4.22	25	9.467733333
24	S1	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	5	1	0	0	0	0	163	169	NA	2.82	10	14.53466667
25	S1	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	11	0	0	17	0	0	159	NA	NA	4.58	14	12.9738
26	S1	F2	SNx 	S	F2A	F2A	1	1	1	1	1	1	1	1	0	0	1	1	1	0	4	3	2	11.5	2	3	2.333333	1.333333	6	156	158	188	3.16	56	4.8949
27	S1	F1 	Nx	N	F1C	F1B	1	1	1	1	1	1	1	1	1	1	1	1	1	0	4	1	1	4.5	4	2	10.333333	3	4	159	159	184	4.88	20	10.5634
28	S1	F2	NSx	N	F2B	F2B	1	1	1	1	0	0	0	0	0	0	1	0	0	0	7	0	0	5.285714286	0	0	3	0	0	163	NA	NA	5.99	60	13.1113
29	S1	F2	NSx	N	F2B	F2B	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	3	0	0	8.333333	0	0	163	NA	NA	3.39	3	9.403066667
30	S1	N	N	N	N4	N4	1	1	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1.5	0	0	5	0	0	178	NA	NA	5.43	8	10.7415
